y,ds
1261,2016-01-01
999,2016-02-01
730,2016-03-01
448,2016-04-01
414,2016-05-01
406,2016-06-01
1436,2016-07-01
2291,2016-08-01
1291,2016-09-01
1033,2016-10-01
1472,2016-11-01
1221,2016-12-01
1676,2017-01-01
1161,2017-02-01
930,2017-03-01
767,2017-04-01
543,2017-05-01
1027,2017-06-01
3139,2017-07-01
4555,2017-08-01
3783,2017-09-01
3833,2017-10-01
2588,2017-11-01
2101,2017-12-01
2043,2018-01-01
1965,2018-02-01
1160,2018-03-01
897,2018-04-01
603,2018-05-01
832,2018-06-01
2608,2018-07-01
3323,2018-08-01
5131,2018-09-01
4472,2018-10-01
3335,2018-11-01
2831,2018-12-01
2082,2019-01-01
2348,2019-02-01
1377,2019-03-01
532,2019-04-01
442,2019-05-01
817,2019-06-01
1839,2019-07-01
5481,2019-08-01
11033,2019-09-01
6776,2019-10-01
4494,2019-11-01
3257,2019-12-01
2328,2020-01-01
1991,2020-02-01
1032,2020-03-01
99,2020-04-01
65,2020-05-01
57,2020-06-01
112,2020-07-01
158,2020-08-01
131,2020-09-01
129,2020-10-01
423,2020-11-01
658,2020-12-01
